show_id,tipo,titulo,director,elenco,anio,clasificacion,duracion,listado_en,plataforma
s97,Movie,Wildlike,Frank Hall Green,"Bruce Greenwood, Ella Purnell, Brian Geraghty",2021,16+,104,"Action, Drama",amazon
s100,Movie,Wilder Napalm,Glenn Gordon Caron,"Debra Winger, Dennis Quaid, Arliss Howard, M. Emmet Walsh, Jim Varney",1993,PG-13,109,"Comedy, Science Fiction",amazon
s103,Movie,Wild Geese,Andrew V. McLaglen,"Richard Burton, Roger Moore, Richard Harris",2012,18+,135,Action,amazon
s106,Movie,Why We Fight,Eugene Jarecki,"Gore Vidal, John McCain, Ken Adelman",2006,PG-13,99,Documentary,amazon
s108,Movie,Whoop!,Kreeti Gogia,Abish Mathew,2018,18+,64,"Arts, Entertainment, and Culture",amazon
s110,Movie,Who Put The Klan Into Ku Klux Klan,Ian Lilley,Neil Oliver,2018,13+,59,Documentary,amazon
s114,Movie,White Tiger,Karen Shakhnazarov,"Aleksey Vertkov, Vitaliy Kishchenko, Valeriy Grishko",2021,16+,109,"Action, Science Fiction",amazon
s115,Movie,White Savior: Racism In The American Church,Aaron J. Christopher,Ashe Jaafaru,2019,16+,62,"Documentary, Faith and Spirituality, Special Interest",amazon
s117,Movie,Whistle Stop,Leonide Moguy,"Ava Gardner, George Raft, Victor McLaglen, Tom Conway, Jorja Curtright",1946,13+,84,Drama,amazon
s118,Movie,Where Love Found Me,David Bolt,"Kaitlin Cheung, Andrew Cheney, James Kyson, Brian Fong, Jennifer Klekas, Max Mendoza, Marcus Natividad, Ronnie Lazaro, Madeleine Nicolas",2018,PG-13,85,"Action, Drama, Special Interest",amazon
s123,Movie,Where Hands Touch,Amma Asante,"Amandla Stenberg, George McKay, Abbie Cornish",2019,PG-13,122,"Drama, Young Adult Audience",amazon
s124,Movie,When the Lights Go On Again,William K. Howard,"James Lydon, Barbara Belden, Regis Toomey, George Cleveland, Warren Mills, Jill Browning",1944,16+,103,"Drama, Military and War",amazon
s125,Movie,When in your reflection,Rocío de Prat Gay,"Clara de la Rúa, Victoria Isabella Villa, Marta Tricerri",2019,16+,9,Drama,amazon
s126,Movie,When Did You Last See Your Father?,Anand Tucker,"Jim Broadbent, Colin Firth, Gina McKee",2008,PG-13,92,"Arthouse, Drama",amazon
s127,Movie,When a Woman Loves A Man,Jamall Rashaud McMillan,"J. Wells Jr., Tina Christine, Dani Coleman, Jeffrey Creightney, Kemuel Crossty",2019,13+,90,Drama,amazon
s128,Movie,WHATEVER FATHER,Harold Trompetero,"Hassam, Carlos Ramírez, Bebsabe Duque",2018,ALL,102,Comedy,amazon
s133,Movie,What Price Crime,Albert Herman,"Charles Starrett, Noel Madison, Virginia Cherrill, Charles Delaney, Jack Mulhall, Nina Guilbert, Henry Roquemore",1935,18+,65,Suspense,amazon
s134,Movie,What Comes Around,Jerry Reed,"Barry Corbin, Cherie Elledge-Grapes, Buck Ford, Leonard P. Geer, John C. Hill, Bo Hopkins, Arte Johnson, Jerry Reed",1985,13+,114,"Action, Adventure, Comedy",amazon
s136,Movie,Western Gold,Howard Bretherton,"Smith Ballew, Heather Angel, LeRoy Mason, Howard P. Hickman, Ben Alexander",1937,18+,56,"Military and War, Western",amazon
s137,Movie,West of Nevada,Robert Hill,"Rex Bell, Joan Barclay",1936,NR/Sin clasificacion,59,"Action, Comedy, Drama",amazon
s140,Movie,Welcome to the Space Show (English Dub),Kôji Masunari,"Keiji Fujiwara, Michael Sinterniklaas",2011,13+,136,Anime,amazon
s142,Movie,Welcome To Kutsher's: The Last Catskills Resort,"Caroline Laskow, Ian Rosenberg","Freddie Roman, Mark Kutsher, Helen Kutsher, Larry Strickler, Celia Duffy, Krazy Tyrone",2015,13+,70,"Documentary, Special Interest",amazon
s143,Movie,Wedding Cha Shinema,Saleel Kulkarni,"Shivraj Waichal, Rucha Inamdar, Mukta Barve, Purnima Ahire, Adesh Aware",2019,ALL,138,"Comedy, International",amazon
s144,Movie,We'll Take Manhattan,John McKay,"Frances Barber, Aneurin Barnard, Fiona Button",2012,16+,89,"Drama, Romance",amazon
s145,Movie,We Need to Talk About Kevin,Lynne Ramsay,"Tilda Swinton, John C. Reilly, Ezra Miller",2012,R,113,"Drama, Horror, Suspense",amazon
s147,Movie,Watermelon Man,Melvin Van Peebles,"Godfrey Cambridge, Estelle Parsons, Howard Caine",1970,R,100,Comedy,amazon
s152,Movie,War of Likes,María Ripoll,"Ludwika Paleta, Regina Blandón, Manolo Cardona, Michelle Rodríguez, Loreto Peralta, Mauricio “Diablito” Barrientos, Catalina López, Patricia Bernal, Héctor Jiménez, Siouzanna Melikián, Paulette Hernández, Pamela Cortés, José Sefami, Pablo Cruz, Elsa Ortíz, Enrique Olvera, Miguel Bosé",2021,16+,104,Comedy,amazon
s153,Movie,War Comes to America,Frank Capra,"Dean Acheson, General Bergeret",1945,NR/Sin clasificacion,65,"Documentary, Special Interest",amazon
s154,Movie,War (Telugu),Siddharth Anand,"Hrithik Roshan, Tiger Shroff, Vaani Kapoor, Ashutosh Rana, Anupriya Goenka, Yash Raaj Singh, Mashhoor Amrohi, Sanjeev Vatsa, Soni Razdan, Dipannita Sharma, Arif Zakaria, Amit Gaur",2019,13+,152,"Action, Drama, Suspense",amazon
s155,Movie,War (Tamil),Siddharth Anand,"Hrithik Roshan, Tiger Shroff, Vaani Kapoor, Ashutosh Rana, Anupriya Goenka, Yash Raaj Singh, Mashhoor Amrohi, Sanjeev Vatsa, Soni Razdan, Dipannita Sharma, Arif Zakaria, Amit Gaur",2019,13+,152,"Action, Drama, Suspense",amazon
s156,Movie,Walter Williams: Suffer No Fools,Tony Machi,"Walter Williams, Thomas Sowell, Charles Murray, Shelby Steele, Larry Elder, Douglas H. Ginsburg, Jack Hirshleifer, Manny Klausner, Thomas C. Rustici, Willette Klausner, Steve Javie",2014,13+,55,Special Interest,amazon
