show_id,gen1,gen2,gen3,gen4,gen5
s1350,Action-Adventure, Animation, Kids,,
s1351,Animation, Family, Sports,,
s1352,Animals & Nature, Comedy, Family,,
s1353,Animation, Family,,,
s1354,Comedy, Coming of Age, Fantasy,,
s1355,Animals & Nature, Documentary, Family,,
s1356,Action-Adventure, Animation, Comedy,,
s1357,Animation, Family, Kids,,
s1358,Comedy, Coming of Age, Fantasy,,
s1360,Action-Adventure, Animals & Nature, Drama,,
s1361,Animation, Family, Parody,,
s1362,Drama, Fantasy,,,
s1363,Animation, Family, Kids,,
s1364,Animation, Family,,,
s1365,Buddy, Comedy,,,
s1366,Buddy, Comedy, Romance,,
s1367,Animation, Comedy, Family,,
s1368,Drama, Family,,,
s1369,Animation, Family, Fantasy,,
